id,carapace,right_left, major, minor
1,11.00,left,14.75,3.96
2,10.25,right,13.03,3.92
3,9.55,left,14.60,3.57
4,6.35,left,6.83,2.30
5,9.45,right,13.17,3.38
6,6.90,right,7.37,2.45
7,8.30,left,9.98,2.93
8,11.30,left,16.47,4.13
9,10.45,right,14.06,3.76
10,6.80,left,8.51,2.45
11,6.95,left,8.28,2.53
12,4.85,right,5.05,1.90
13,8.35,right,11.37,2.93
14,7.65,left,8.82,2.69
15,7.65,left,10.26,2.88
16,6.65,right,6.27,2.34
17,8.35,left,12.02,3.36
18,7.20,left,8.06,2.81
19,10.55,left,14.68,3.87
20,7.35,right,8.70,2.74
21,7.35,left,8.00,3.00
22,9.00,left,10.61,3.25
23,9.00,left,12.32,3.29
24,7.25,right,8.39,3.20
25,8.10,right,6.62,2.92
26,7.60,left,7.81,2.97
27,10.15,left,14.04,3.75
28,8.10,right,10.22,3.23
29,8.85,right,10.31,3.14
30,5.80,right,5.30,2.06
31,6.55,right,7.98,2.55
32,8.90,left,10.77,3.34
33,9.75,left,12.67,3.48
34,6.15,right,6.41,2.25
35,7.50,left,9.82,2.87
36,6.70,right,8.15,2.50
37,6.85,left,8.66,2.56
38,7.10,right,8.83,2.38
39,6.00,right,5.29,2.10
40,7.35,right,9.62,2.44
41,7.45,left,8.96,2.76
42,6.30,left,7.74,2.54
43,7.35,left,8.69,2.58
44,8.00,left,11.11,2.69
45,7.30,right,8.38,2.44
46,6.95,left,8.15,2.32
47,6.70,right,6.87,2.29
48,6.80,right,7.28,2.31
49,9.35,left,11.62,3.44
50,7.40,left,8.15,2.65
