Category: All categories

Week,Influenza: (United Kingdom)
2010-05-02,6
2010-05-09,6
2010-05-16,7
2010-05-23,6
2010-05-30,5
2010-06-06,4
2010-06-13,6
2010-06-20,5
2010-06-27,4
2010-07-04,5
2010-07-11,4
2010-07-18,5
2010-07-25,3
2010-08-01,4
2010-08-08,5
2010-08-15,6
2010-08-22,6
2010-08-29,6
2010-09-05,6
2010-09-12,8
2010-09-19,8
2010-09-26,8
2010-10-03,11
2010-10-10,10
2010-10-17,11
2010-10-24,10
2010-10-31,9
2010-11-07,11
2010-11-14,10
2010-11-21,10
2010-11-28,9
2010-12-05,14
2010-12-12,31
2010-12-19,63
2010-12-26,76
2011-01-02,100
2011-01-09,67
2011-01-16,35
2011-01-23,21
2011-01-30,21
2011-02-06,18
2011-02-13,13
2011-02-20,9
2011-02-27,10
2011-03-06,11
2011-03-13,11
2011-03-20,10
2011-03-27,11
2011-04-03,8
2011-04-10,6
2011-04-17,6
2011-04-24,7
2011-05-01,7
2011-05-08,5
2011-05-15,5
2011-05-22,5
2011-05-29,5
2011-06-05,5
2011-06-12,4
2011-06-19,4
2011-06-26,4
2011-07-03,4
2011-07-10,4
2011-07-17,5
2011-07-24,4
2011-07-31,4
2011-08-07,4
2011-08-14,3
2011-08-21,5
2011-08-28,4
2011-09-04,5
2011-09-11,7
2011-09-18,9
2011-09-25,10
2011-10-02,14
2011-10-09,14
2011-10-16,17
2011-10-23,14
2011-10-30,14
2011-11-06,22
2011-11-13,11
2011-11-20,12
2011-11-27,11
2011-12-04,11
2011-12-11,9
2011-12-18,10
2011-12-25,11
2012-01-01,10
2012-01-08,8
2012-01-15,7
2012-01-22,9
2012-01-29,9
2012-02-05,9
2012-02-12,11
2012-02-19,8
2012-02-26,9
2012-03-04,8
2012-03-11,8
2012-03-18,8
2012-03-25,7
2012-04-01,7
2012-04-08,6
2012-04-15,7
2012-04-22,6
2012-04-29,5
2012-05-06,5
2012-05-13,6
2012-05-20,4
2012-05-27,4
2012-06-03,4
2012-06-10,4
2012-06-17,4
2012-06-24,4
2012-07-01,4
2012-07-08,4
2012-07-15,5
2012-07-22,5
2012-07-29,4
2012-08-05,4
2012-08-12,4
2012-08-19,4
2012-08-26,4
2012-09-02,5
2012-09-09,7
2012-09-16,9
2012-09-23,11
2012-09-30,14
2012-10-07,17
2012-10-14,16
2012-10-21,15
2012-10-28,14
2012-11-04,15
2012-11-11,13
2012-11-18,12
2012-11-25,11
2012-12-02,11
2012-12-09,13
2012-12-16,17
2012-12-23,17
2012-12-30,19
2013-01-06,15
2013-01-13,12
2013-01-20,12
2013-01-27,13
2013-02-03,13
2013-02-10,14
2013-02-17,12
2013-02-24,12
2013-03-03,12
2013-03-10,11
2013-03-17,11
2013-03-24,9
2013-03-31,10
2013-04-07,9
2013-04-14,8
2013-04-21,7
2013-04-28,7
2013-05-05,7
2013-05-12,6
2013-05-19,4
2013-05-26,5
2013-06-02,4
2013-06-09,4
2013-06-16,4
2013-06-23,4
2013-06-30,3
2013-07-07,4
2013-07-14,3
2013-07-21,3
2013-07-28,2
2013-08-04,4
2013-08-11,4
2013-08-18,4
2013-08-25,4
2013-09-01,6
2013-09-08,9
2013-09-15,12
2013-09-22,13
2013-09-29,19
2013-10-06,20
2013-10-13,19
2013-10-20,19
2013-10-27,14
2013-11-03,14
2013-11-10,13
2013-11-17,11
2013-11-24,11
2013-12-01,12
2013-12-08,11
2013-12-15,11
2013-12-22,8
2013-12-29,10
2014-01-05,11
2014-01-12,9
2014-01-19,9
2014-01-26,9
2014-02-02,10
2014-02-09,10
2014-02-16,11
2014-02-23,11
2014-03-02,9
2014-03-09,9
2014-03-16,9
2014-03-23,8
2014-03-30,9
2014-04-06,7
2014-04-13,5
2014-04-20,7
2014-04-27,5
2014-05-04,5
2014-05-11,5
2014-05-18,6
2014-05-25,4
2014-06-01,4
2014-06-08,4
2014-06-15,4
2014-06-22,4
2014-06-29,4
2014-07-06,5
2014-07-13,5
2014-07-20,4
2014-07-27,4
2014-08-03,4
2014-08-10,5
2014-08-17,5
2014-08-24,5
2014-08-31,6
2014-09-07,8
2014-09-14,9
2014-09-21,13
2014-09-28,16
2014-10-05,27
2014-10-12,25
2014-10-19,21
2014-10-26,19
2014-11-02,17
2014-11-09,14
2014-11-16,19
2014-11-23,16
2014-11-30,15
2014-12-07,17
2014-12-14,21
2014-12-21,20
2014-12-28,21
2015-01-04,19
2015-01-11,14
2015-01-18,14
2015-01-25,12
2015-02-01,16
2015-02-08,15
2015-02-15,15
2015-02-22,14
2015-03-01,13
2015-03-08,13
2015-03-15,12
2015-03-22,9
2015-03-29,11
2015-04-05,9
2015-04-12,8
2015-04-19,8
2015-04-26,6
