Category: All categories

Week,flu jab: (United Kingdom)
2010-05-02,0
2010-05-09,1
2010-05-16,0
2010-05-23,1
2010-05-30,0
2010-06-06,1
2010-06-13,0
2010-06-20,0
2010-06-27,1
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,0
2010-08-01,1
2010-08-08,0
2010-08-15,0
2010-08-22,1
2010-08-29,1
2010-09-05,0
2010-09-12,3
2010-09-19,5
2010-09-26,8
2010-10-03,11
2010-10-10,11
2010-10-17,13
2010-10-24,17
2010-10-31,8
2010-11-07,8
2010-11-14,8
2010-11-21,9
2010-11-28,5
2010-12-05,5
2010-12-12,17
2010-12-19,47
2010-12-26,47
2011-01-02,100
2011-01-09,59
2011-01-16,24
2011-01-23,11
2011-01-30,6
2011-02-06,6
2011-02-13,5
2011-02-20,1
2011-02-27,1
2011-03-06,6
2011-03-13,4
2011-03-20,2
2011-03-27,1
2011-04-03,3
2011-04-10,1
2011-04-17,0
2011-04-24,1
2011-05-01,1
2011-05-08,<1
2011-05-15,2
2011-05-22,1
2011-05-29,1
2011-06-05,1
2011-06-12,1
2011-06-19,1
2011-06-26,1
2011-07-03,1
2011-07-10,0
2011-07-17,1
2011-07-24,0
2011-07-31,0
2011-08-07,1
2011-08-14,1
2011-08-21,0
2011-08-28,2
2011-09-04,3
2011-09-11,4
2011-09-18,7
2011-09-25,13
2011-10-02,26
2011-10-09,28
2011-10-16,44
2011-10-23,29
2011-10-30,25
2011-11-06,25
2011-11-13,19
2011-11-20,15
2011-11-27,15
2011-12-04,8
2011-12-11,5
2011-12-18,7
2011-12-25,5
2012-01-01,4
2012-01-08,5
2012-01-15,5
2012-01-22,3
2012-01-29,3
2012-02-05,5
2012-02-12,3
2012-02-19,1
2012-02-26,1
2012-03-04,2
2012-03-11,1
2012-03-18,1
2012-03-25,1
2012-04-01,0
2012-04-08,<1
2012-04-15,2
2012-04-22,<1
2012-04-29,<1
2012-05-06,0
2012-05-13,1
2012-05-20,<1
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,1
2012-07-22,<1
2012-07-29,<1
2012-08-05,0
2012-08-12,0
2012-08-19,1
2012-08-26,<1
2012-09-02,2
2012-09-09,5
2012-09-16,8
2012-09-23,17
2012-09-30,25
2012-10-07,41
2012-10-14,32
2012-10-21,22
2012-10-28,29
2012-11-04,32
2012-11-11,24
2012-11-18,18
2012-11-25,12
2012-12-02,13
2012-12-09,10
2012-12-16,10
2012-12-23,6
2012-12-30,5
2013-01-06,4
2013-01-13,4
2013-01-20,5
2013-01-27,4
2013-02-03,3
2013-02-10,2
2013-02-17,4
2013-02-24,3
2013-03-03,1
2013-03-10,1
2013-03-17,2
2013-03-24,1
2013-03-31,1
2013-04-07,1
2013-04-14,<1
2013-04-21,2
2013-04-28,<1
2013-05-05,1
2013-05-12,1
2013-05-19,<1
2013-05-26,1
2013-06-02,<1
2013-06-09,1
2013-06-16,0
2013-06-23,<1
2013-06-30,2
2013-07-07,<1
2013-07-14,<1
2013-07-21,<1
2013-07-28,1
2013-08-04,2
2013-08-11,0
2013-08-18,<1
2013-08-25,2
2013-09-01,3
2013-09-08,7
2013-09-15,12
2013-09-22,17
2013-09-29,39
2013-10-06,41
2013-10-13,53
2013-10-20,54
2013-10-27,33
2013-11-03,26
2013-11-10,28
2013-11-17,18
2013-11-24,21
2013-12-01,15
2013-12-08,8
2013-12-15,7
2013-12-22,5
2013-12-29,7
2014-01-05,5
2014-01-12,4
2014-01-19,5
2014-01-26,5
2014-02-02,3
2014-02-09,2
2014-02-16,4
2014-02-23,3
2014-03-02,2
2014-03-09,1
2014-03-16,2
2014-03-23,2
2014-03-30,1
2014-04-06,1
2014-04-13,<1
2014-04-20,1
2014-04-27,1
2014-05-04,1
2014-05-11,<1
2014-05-18,1
2014-05-25,1
2014-06-01,1
2014-06-08,2
2014-06-15,<1
2014-06-22,2
2014-06-29,0
2014-07-06,<1
2014-07-13,<1
2014-07-20,<1
2014-07-27,1
2014-08-03,1
2014-08-10,1
2014-08-17,1
2014-08-24,2
2014-08-31,2
2014-09-07,6
2014-09-14,10
2014-09-21,15
2014-09-28,27
2014-10-05,62
2014-10-12,53
2014-10-19,45
2014-10-26,34
2014-11-02,30
2014-11-09,28
2014-11-16,23
2014-11-23,16
2014-11-30,16
2014-12-07,17
2014-12-14,7
2014-12-21,7
2014-12-28,9
2015-01-04,6
2015-01-11,5
2015-01-18,7
2015-01-25,5
2015-02-01,8
2015-02-08,5
2015-02-15,4
2015-02-22,3
2015-03-01,2
2015-03-08,4
2015-03-15,4
2015-03-22,1
2015-03-29,1
2015-04-05,<1
2015-04-12,1
2015-04-19,1
2015-04-26,1
