Category: All categories

Week,flu symptoms: (United Kingdom)
2010-05-02,2
2010-05-09,4
2010-05-16,5
2010-05-23,6
2010-05-30,1
2010-06-06,2
2010-06-13,3
2010-06-20,2
2010-06-27,2
2010-07-04,3
2010-07-11,1
2010-07-18,3
2010-07-25,2
2010-08-01,1
2010-08-08,2
2010-08-15,2
2010-08-22,3
2010-08-29,3
2010-09-05,3
2010-09-12,5
2010-09-19,5
2010-09-26,3
2010-10-03,5
2010-10-10,4
2010-10-17,2
2010-10-24,5
2010-10-31,7
2010-11-07,3
2010-11-14,5
2010-11-21,5
2010-11-28,4
2010-12-05,12
2010-12-12,37
2010-12-19,80
2010-12-26,100
2011-01-02,97
2011-01-09,73
2011-01-16,39
2011-01-23,31
2011-01-30,20
2011-02-06,24
2011-02-13,15
2011-02-20,12
2011-02-27,12
2011-03-06,8
2011-03-13,10
2011-03-20,8
2011-03-27,8
2011-04-03,10
2011-04-10,7
2011-04-17,5
2011-04-24,6
2011-05-01,6
2011-05-08,3
2011-05-15,4
2011-05-22,4
2011-05-29,4
2011-06-05,5
2011-06-12,5
2011-06-19,3
2011-06-26,4
2011-07-03,2
2011-07-10,4
2011-07-17,4
2011-07-24,3
2011-07-31,3
2011-08-07,4
2011-08-14,4
2011-08-21,3
2011-08-28,3
2011-09-04,4
2011-09-11,5
2011-09-18,6
2011-09-25,6
2011-10-02,4
2011-10-09,6
2011-10-16,3
2011-10-23,6
2011-10-30,7
2011-11-06,8
2011-11-13,8
2011-11-20,8
2011-11-27,4
2011-12-04,7
2011-12-11,5
2011-12-18,7
2011-12-25,10
2012-01-01,6
2012-01-08,5
2012-01-15,5
2012-01-22,5
2012-01-29,5
2012-02-05,6
2012-02-12,9
2012-02-19,8
2012-02-26,11
2012-03-04,7
2012-03-11,5
2012-03-18,6
2012-03-25,6
2012-04-01,4
2012-04-08,6
2012-04-15,5
2012-04-22,5
2012-04-29,5
2012-05-06,7
2012-05-13,6
2012-05-20,4
2012-05-27,4
2012-06-03,5
2012-06-10,3
2012-06-17,3
2012-06-24,3
2012-07-01,3
2012-07-08,3
2012-07-15,4
2012-07-22,4
2012-07-29,2
2012-08-05,3
2012-08-12,2
2012-08-19,2
2012-08-26,3
2012-09-02,3
2012-09-09,4
2012-09-16,5
2012-09-23,6
2012-09-30,8
2012-10-07,6
2012-10-14,7
2012-10-21,8
2012-10-28,8
2012-11-04,5
2012-11-11,8
2012-11-18,8
2012-11-25,5
2012-12-02,9
2012-12-09,12
2012-12-16,13
2012-12-23,21
2012-12-30,18
2013-01-06,11
2013-01-13,9
2013-01-20,9
2013-01-27,11
2013-02-03,11
2013-02-10,14
2013-02-17,10
2013-02-24,11
2013-03-03,11
2013-03-10,10
2013-03-17,8
2013-03-24,8
2013-03-31,8
2013-04-07,8
2013-04-14,6
2013-04-21,6
2013-04-28,6
2013-05-05,3
2013-05-12,3
2013-05-19,3
2013-05-26,3
2013-06-02,3
2013-06-09,4
2013-06-16,3
2013-06-23,5
2013-06-30,4
2013-07-07,2
2013-07-14,2
2013-07-21,1
2013-07-28,2
2013-08-04,3
2013-08-11,4
2013-08-18,3
2013-08-25,2
2013-09-01,4
2013-09-08,5
2013-09-15,7
2013-09-22,7
2013-09-29,7
2013-10-06,7
2013-10-13,7
2013-10-20,8
2013-10-27,5
2013-11-03,7
2013-11-10,5
2013-11-17,5
2013-11-24,7
2013-12-01,8
2013-12-08,8
2013-12-15,9
2013-12-22,6
2013-12-29,6
2014-01-05,7
2014-01-12,6
2014-01-19,4
2014-01-26,6
2014-02-02,8
2014-02-09,9
2014-02-16,8
2014-02-23,9
2014-03-02,8
2014-03-09,6
2014-03-16,8
2014-03-23,6
2014-03-30,7
2014-04-06,7
2014-04-13,5
2014-04-20,4
2014-04-27,4
2014-05-04,5
2014-05-11,5
2014-05-18,5
2014-05-25,4
2014-06-01,5
2014-06-08,2
2014-06-15,3
2014-06-22,3
2014-06-29,3
2014-07-06,4
2014-07-13,3
2014-07-20,2
2014-07-27,3
2014-08-03,1
2014-08-10,4
2014-08-17,2
2014-08-24,3
2014-08-31,5
2014-09-07,4
2014-09-14,3
2014-09-21,4
2014-09-28,6
2014-10-05,9
2014-10-12,12
2014-10-19,9
2014-10-26,7
2014-11-02,7
2014-11-09,7
2014-11-16,9
2014-11-23,7
2014-11-30,7
2014-12-07,14
2014-12-14,16
2014-12-21,15
2014-12-28,17
2015-01-04,14
2015-01-11,10
2015-01-18,8
2015-01-25,9
2015-02-01,11
2015-02-08,11
2015-02-15,12
2015-02-22,10
2015-03-01,9
2015-03-08,7
2015-03-15,8
2015-03-22,5
2015-03-29,8
2015-04-05,9
2015-04-12,6
2015-04-19,7
2015-04-26,3
