Category: All categories

Week,flu symptoms: (United Kingdom),flu jab: (United Kingdom),flu: (United Kingdom)
2010-05-02,<1,<1,4
2010-05-09,1,<1,5
2010-05-16,1,0,4
2010-05-23,1,<1,5
2010-05-30,1,0,3
2010-06-06,1,<1,4
2010-06-13,1,0,3
2010-06-20,<1,<1,4
2010-06-27,<1,<1,3
2010-07-04,1,0,4
2010-07-11,<1,<1,4
2010-07-18,<1,0,4
2010-07-25,1,0,2
2010-08-01,<1,0,3
2010-08-08,1,<1,3
2010-08-15,1,0,3
2010-08-22,1,<1,3
2010-08-29,1,<1,5
2010-09-05,1,0,4
2010-09-12,1,<1,5
2010-09-19,1,1,8
2010-09-26,1,1,7
2010-10-03,1,2,9
2010-10-10,1,2,7
2010-10-17,1,2,9
2010-10-24,1,3,10
2010-10-31,1,2,8
2010-11-07,1,2,7
2010-11-14,2,2,8
2010-11-21,1,2,8
2010-11-28,2,1,9
2010-12-05,4,1,12
2010-12-12,12,3,32
2010-12-19,20,7,56
2010-12-26,27,6,74
2011-01-02,31,15,100
2011-01-09,20,10,62
2011-01-16,12,4,37
2011-01-23,9,1,19
2011-01-30,6,1,19
2011-02-06,7,1,15
2011-02-13,4,<1,12
2011-02-20,3,<1,10
2011-02-27,2,<1,11
2011-03-06,3,1,10
2011-03-13,2,<1,10
2011-03-20,2,<1,9
2011-03-27,3,<1,9
2011-04-03,3,1,9
2011-04-10,2,0,7
2011-04-17,2,<1,6
2011-04-24,2,<1,7
2011-05-01,2,0,6
2011-05-08,1,<1,5
2011-05-15,1,<1,5
2011-05-22,1,<1,4
2011-05-29,1,0,5
2011-06-05,2,<1,5
2011-06-12,1,<1,5
2011-06-19,1,0,5
2011-06-26,1,<1,4
2011-07-03,1,0,3
2011-07-10,1,0,5
2011-07-17,1,<1,4
2011-07-24,1,0,4
2011-07-31,1,<1,3
2011-08-07,1,0,4
2011-08-14,1,0,4
2011-08-21,1,<1,4
2011-08-28,1,<1,5
2011-09-04,1,1,6
2011-09-11,1,1,7
2011-09-18,2,1,8
2011-09-25,1,2,11
2011-10-02,1,4,14
2011-10-09,2,4,14
2011-10-16,1,6,16
2011-10-23,2,4,13
2011-10-30,2,4,14
2011-11-06,2,3,18
2011-11-13,2,3,12
2011-11-20,1,3,13
2011-11-27,2,2,11
2011-12-04,2,1,9
2011-12-11,2,1,9
2011-12-18,1,1,10
2011-12-25,2,1,10
2012-01-01,1,<1,11
2012-01-08,2,1,8
2012-01-15,1,1,7
2012-01-22,1,1,8
2012-01-29,2,<1,8
2012-02-05,2,1,9
2012-02-12,2,<1,10
2012-02-19,2,<1,8
2012-02-26,2,<1,9
2012-03-04,2,<1,8
2012-03-11,1,<1,7
2012-03-18,1,0,7
2012-03-25,2,<1,7
2012-04-01,1,0,6
2012-04-08,1,<1,6
2012-04-15,2,<1,6
2012-04-22,1,<1,5
2012-04-29,1,0,5
2012-05-06,1,<1,6
2012-05-13,1,<1,6
2012-05-20,1,<1,5
2012-05-27,1,<1,5
2012-06-03,1,<1,5
2012-06-10,1,<1,4
2012-06-17,1,<1,4
2012-06-24,1,<1,5
2012-07-01,1,0,3
2012-07-08,1,<1,5
2012-07-15,1,0,5
2012-07-22,1,<1,5
2012-07-29,1,<1,4
2012-08-05,1,<1,4
2012-08-12,1,<1,3
2012-08-19,1,<1,3
2012-08-26,1,<1,4
2012-09-02,1,1,4
2012-09-09,1,1,6
2012-09-16,1,1,8
2012-09-23,2,2,12
2012-09-30,2,4,15
2012-10-07,2,6,18
2012-10-14,2,4,17
2012-10-21,2,4,13
2012-10-28,2,4,14
2012-11-04,2,4,14
2012-11-11,2,3,12
2012-11-18,2,2,12
2012-11-25,2,1,10
2012-12-02,1,2,11
2012-12-09,3,1,13
2012-12-16,4,1,17
2012-12-23,6,1,18
2012-12-30,5,1,18
2013-01-06,3,1,15
2013-01-13,2,<1,10
2013-01-20,2,1,11
2013-01-27,3,1,13
2013-02-03,3,1,13
2013-02-10,3,<1,13
2013-02-17,3,<1,12
2013-02-24,3,<1,13
2013-03-03,3,<1,11
2013-03-10,3,<1,10
2013-03-17,2,<1,11
2013-03-24,2,<1,9
2013-03-31,2,<1,10
2013-04-07,2,<1,9
2013-04-14,2,0,9
2013-04-21,1,<1,7
2013-04-28,1,<1,6
2013-05-05,1,<1,7
2013-05-12,1,<1,6
2013-05-19,1,<1,5
2013-05-26,1,<1,5
2013-06-02,1,<1,5
2013-06-09,1,<1,4
2013-06-16,1,<1,4
2013-06-23,1,<1,4
2013-06-30,1,0,4
2013-07-07,1,<1,4
2013-07-14,1,<1,2
2013-07-21,1,<1,2
2013-07-28,1,0,3
2013-08-04,1,<1,4
2013-08-11,1,<1,4
2013-08-18,1,<1,4
2013-08-25,1,<1,4
2013-09-01,1,<1,5
2013-09-08,1,1,9
2013-09-15,2,2,12
2013-09-22,2,3,13
2013-09-29,2,5,19
