time,sample,type,sub,channel,num,aux
0.668,167,N,0,0,0,
1.66,415,N,0,0,0,
2.64,660,N,0,0,0,
3.628,907,N,0,0,0,
4.628,1157,N,0,0,0,
5.6,1400,N,0,0,0,
6.564,1641,N,0,0,0,
7.544,1886,N,0,0,0,
8.528,2132,N,0,0,0,
9.528,2382,N,0,0,0,
10.532,2633,N,0,0,0,
11.524,2881,N,0,0,0,
12.504,3126,N,0,0,0,
13.484,3371,N,0,0,0,
14.488,3622,N,0,0,0,
15.504,3876,N,0,0,0,
16.484,4121,N,0,0,0,
17.456,4364,N,0,0,0,
18.432,4608,N,0,0,0,
19.368,4842,N,0,0,0,
20.284,5071,N,0,0,0,
21.192,5298,N,0,0,0,
22.092,5523,N,0,0,0,
23.012,5753,N,0,0,0,
23.956,5989,N,0,0,0,
24.904,6226,N,0,0,0,
25.856,6464,N,0,0,0,
26.82,6705,N,0,0,0,
27.78,6945,N,0,0,0,
28.744,7186,N,0,0,0,
29.708,7427,N,0,0,0,
30.68,7670,N,0,0,0,
31.656,7914,N,0,0,0,
32.608,8152,N,0,0,0,
33.56,8390,N,0,0,0,
34.52,8630,N,0,0,0,
35.484,8871,N,0,0,0,
36.428,9107,N,0,0,0,
37.38,9345,N,0,0,0,
38.328,9582,N,0,0,0,
39.26,9815,N,0,0,0,
40.172,10043,N,0,0,0,
41.092,10273,N,0,0,0,
42,10500,N,0,0,0,
42.928,10732,N,0,0,0,
43.88,10970,N,0,0,0,
44.84,11210,N,0,0,0,
45.804,11451,N,0,0,0,
46.8,11700,N,0,0,0,
47.808,11952,N,0,0,0,
48.832,12208,N,0,0,0,
49.848,12462,N,0,0,0,
50.844,12711,N,0,0,0,
51.848,12962,N,0,0,0,
52.864,13216,N,0,0,0,
53.876,13469,N,0,0,0,
54.856,13714,N,0,0,0,
55.792,13948,N,0,0,0,
56.732,14183,N,0,0,0,
57.696,14424,N,0,0,0,
58.664,14666,N,0,0,0,
59.628,14907,N,0,0,0,
60.62,15155,N,0,0,0,
61.64,15410,N,0,0,0,
62.676,15669,N,0,0,0,
63.704,15926,N,0,0,0,
64.744,16186,N,0,0,0,
65.784,16446,N,0,0,0,
66.824,16706,N,0,0,0,
67.844,16961,N,0,0,0,
68.864,17216,N,0,0,0,
69.88,17470,N,0,0,0,
70.908,17727,N,0,0,0,
71.932,17983,N,0,0,0,
72.96,18240,N,0,0,0,
73.98,18495,N,0,0,0,
74.992,18748,N,0,0,0,
76.012,19003,N,0,0,0,
77.02,19255,N,0,0,0,
78.028,19507,N,0,0,0,
79.024,19756,N,0,0,0,
80.004,20001,N,0,0,0,
80.988,20247,N,0,0,0,
81.968,20492,N,0,0,0,
82.94,20735,N,0,0,0,
83.916,20979,N,0,0,0,
84.896,21224,N,0,0,0,
85.876,21469,N,0,0,0,
86.852,21713,N,0,0,0,
87.832,21958,N,0,0,0,
88.824,22206,N,0,0,0,
89.816,22454,N,0,0,0,
90.772,22693,N,0,0,0,
91.732,22933,N,0,0,0,
92.652,23163,N,0,0,0,
93.564,23391,N,0,0,0,
94.472,23618,N,0,0,0,
95.384,23846,N,0,0,0,
96.288,24072,N,0,0,0,
97.2,24300,N,0,0,0,
98.096,24524,N,0,0,0,
98.976,24744,N,0,0,0,
99.876,24969,N,0,0,0,
100.772,25193,N,0,0,0,
101.68,25420,N,0,0,0,
102.592,25648,N,0,0,0,
103.524,25881,N,0,0,0,
104.46,26115,N,0,0,0,
105.4,26350,N,0,0,0,
106.332,26583,N,0,0,0,
107.244,26811,N,0,0,0,
108.132,27033,N,0,0,0,
109.016,27254,N,0,0,0,
109.888,27472,N,0,0,0,
110.784,27696,N,0,0,0,
111.704,27926,N,0,0,0,
112.652,28163,N,0,0,0,
113.636,28409,N,0,0,0,
