time,sample,type,sub,channel,num,aux
0.716,179,N,0,0,0,
1.868,467,N,0,0,0,
2.82,705,N,0,0,0,
3.832,958,N,0,0,0,
4.848,1212,N,0,0,0,
5.752,1438,N,0,0,0,
6.608,1652,N,0,0,0,
7.496,1874,N,0,0,0,
8.424,2106,N,0,0,0,
9.32,2330,N,0,0,0,
10.192,2548,N,0,0,0,
11.02,2755,N,0,0,0,
11.876,2969,N,0,0,0,
12.768,3192,N,0,0,0,
13.596,3399,N,0,0,0,
14.368,3592,N,0,0,0,
15.16,3790,N,0,0,0,
16.048,4012,N,0,0,0,
16.86,4215,N,0,0,0,
17.764,4441,N,0,0,0,
18.86,4715,N,0,0,0,
19.948,4987,N,0,0,0,
20.944,5236,N,0,0,0,
21.86,5465,N,0,0,0,
22.776,5694,N,0,0,0,
23.708,5927,N,0,0,0,
24.588,6147,N,0,0,0,
25.364,6341,N,0,0,0,
26.116,6529,N,0,0,0,
26.852,6713,N,0,0,0,
27.572,6893,N,0,0,0,
28.324,7081,N,0,0,0,
29.088,7272,N,0,0,0,
29.876,7469,N,0,0,0,
30.676,7669,N,0,0,0,
31.448,7862,N,0,0,0,
32.176,8044,N,0,0,0,
32.876,8219,N,0,0,0,
33.576,8394,N,0,0,0,
34.248,8562,N,0,0,0,
34.932,8733,N,0,0,0,
35.644,8911,N,0,0,0,
36.428,9107,N,0,0,0,
37.264,9316,N,0,0,0,
38.148,9537,N,0,0,0,
39.08,9770,N,0,0,0,
40.036,10009,N,0,0,0,
40.868,10217,N,0,0,0,
41.716,10429,N,0,0,0,
42.596,10649,N,0,0,0,
43.532,10883,N,0,0,0,
44.512,11128,N,0,0,0,
45.488,11372,N,0,0,0,
46.356,11589,N,0,0,0,
47.196,11799,N,0,0,0,
48.116,12029,N,0,0,0,
49.16,12290,N,0,0,0,
50.244,12561,N,0,0,0,
51.212,12803,N,0,0,0,
52.128,13032,N,0,0,0,
53.152,13288,N,0,0,0,
54.232,13558,N,0,0,0,
55.304,13826,N,0,0,0,
56.216,14054,N,0,0,0,
57.132,14283,N,0,0,0,
58.092,14523,N,0,0,0,
59.148,14787,N,0,0,0,
60.212,15053,N,0,0,0,
61.132,15283,N,0,0,0,
62.08,15520,N,0,0,0,
63.172,15793,N,0,0,0,
64.268,16067,N,0,0,0,
65.356,16339,N,0,0,0,
66.276,16569,N,0,0,0,
67.172,16793,N,0,0,0,
68.06,17015,N,0,0,0,
68.988,17247,N,0,0,0,
69.856,17464,N,0,0,0,
70.608,17652,N,0,0,0,
71.368,17842,N,0,0,0,
72.116,18029,N,0,0,0,
73,18250,N,0,0,0,
74.12,18530,N,0,0,0,
75.112,18778,N,0,0,0,
76.012,19003,N,0,0,0,
76.828,19207,N,0,0,0,
77.648,19412,N,0,0,0,
78.056,19514,+,0,0,0,(AFIB
78.464,19616,N,0,0,0,
79.296,19824,N,0,0,0,
80.064,20016,N,0,0,0,
80.852,20213,N,0,0,0,
81.752,20438,N,0,0,0,
82.724,20681,N,0,0,0,
83.632,20908,N,0,0,0,
84.564,21141,N,0,0,0,
85.512,21378,N,0,0,0,
86.484,21621,N,0,0,0,
87.408,21852,N,0,0,0,
88.296,22074,N,0,0,0,
89.128,22282,N,0,0,0,
89.976,22494,N,0,0,0,
90.864,22716,N,0,0,0,
91.744,22936,N,0,0,0,
92.712,23178,N,0,0,0,
93.76,23440,N,0,0,0,
94.828,23707,N,0,0,0,
95.884,23971,N,0,0,0,
96.904,24226,N,0,0,0,
97.888,24472,N,0,0,0,
98.844,24711,N,0,0,0,
99.836,24959,N,0,0,0,
100.82,25205,N,0,0,0,
101.704,25426,N,0,0,0,
102.576,25644,N,0,0,0,
103.532,25883,N,0,0,0,
104.612,26153,N,0,0,0,
105.652,26413,N,0,0,0,
106.572,26643,N,0,0,0,
107.436,26859,N,0,0,0,
108.36,27090,N,0,0,0,
109.396,27349,N,0,0,0,
110.424,27606,N,0,0,0,
111.404,27851,N,0,0,0,
112.388,28097,N,0,0,0,
113.372,28343,N,0,0,0,
114.288,28572,N,0,0,0,
115.108,28777,N,0,0,0,
115.928,28982,N,0,0,0,
116.8,29200,N,0,0,0,
117.64,29410,N,0,0,0,
118.532,29633,N,0,0,0,
119.66,29915,N,0,0,0,
120.764,30191,N,0,0,0,
121.852,30463,N,0,0,0,
122.892,30723,N,0,0,0,
123.792,30948,N,0,0,0,
124.664,31166,N,0,0,0,
125.644,31411,N,0,0,0,
126.736,31684,N,0,0,0,
127.828,31957,N,0,0,0,
128.848,32212,N,0,0,0,
129.816,32454,N,0,0,0,
130.888,32722,N,0,0,0,
132.012,33003,N,0,0,0,
133.12,33280,N,0,0,0,
134.212,33553,N,0,0,0,
135.276,33819,N,0,0,0,
136.344,34086,N,0,0,0,
137.436,34359,N,0,0,0,
138.488,34622,N,0,0,0,
139.5,34875,N,0,0,0,
140.504,35126,N,0,0,0,
141.508,35377,N,0,0,0,
142.44,35610,N,0,0,0,
143.404,35851,N,0,0,0,
144.444,36111,N,0,0,0,
145.524,36381,N,0,0,0,
146.56,36640,N,0,0,0,
147.62,36905,N,0,0,0,
148.668,37167,N,0,0,0,
149.608,37402,N,0,0,0,
150.548,37637,N,0,0,0,
151.556,37889,N,0,0,0,
152.54,38135,N,0,0,0,
153.492,38373,N,0,0,0,
154.536,38634,N,0,0,0,
155.604,38901,N,0,0,0,
156.548,39137,N,0,0,0,
157.508,39377,N,0,0,0,
158.592,39648,N,0,0,0,
159.68,39920,N,0,0,0,
160.7,40175,N,0,0,0,
161.744,40436,N,0,0,0,
162.792,40698,N,0,0,0,
163.292,40823,+,0,0,0,(N
163.792,40948,N,0,0,0,
164.84,41210,N,0,0,0,
165.888,41472,N,0,0,0,
166.828,41707,N,0,0,0,
167.796,41949,N,0,0,0,
168.836,42209,N,0,0,0,
169.924,42481,N,0,0,0,
170.92,42730,N,0,0,0,
171.936,42984,N,0,0,0,
172.972,43243,N,0,0,0,
174,43500,N,0,0,0,
174.96,43740,N,0,0,0,
175.956,43989,N,0,0,0,
176.996,44249,N,0,0,0,
177.916,44479,N,0,0,0,
178.88,44720,N,0,0,0,
179.884,44971,N,0,0,0,
180.864,45216,N,0,0,0,
181.764,45441,N,0,0,0,
182.724,45681,N,0,0,0,
183.732,45933,N,0,0,0,
184.692,46173,N,0,0,0,
185.62,46405,N,0,0,0,
186.652,46663,N,0,0,0,
187.732,46933,N,0,0,0,
188.74,47185,N,0,0,0,
189.656,47414,N,0,0,0,
190.628,47657,N,0,0,0,
191.656,47914,N,0,0,0,
192.672,48168,N,0,0,0,
193.58,48395,N,0,0,0,
194.528,48632,N,0,0,0,
195.56,48890,N,0,0,0,
196.608,49152,N,0,0,0,
197.564,49391,N,0,0,0,
198.484,49621,N,0,0,0,
199.472,49868,N,0,0,0,
200.516,50129,N,0,0,0,
201.528,50382,N,0,0,0,
202.444,50611,N,0,0,0,
203.436,50859,N,0,0,0,
204.492,51123,N,0,0,0,
205.536,51384,N,0,0,0,
206.48,51620,N,0,0,0,
207.464,51866,N,0,0,0,
208.496,52124,N,0,0,0,
209.524,52381,N,0,0,0,
210.528,52632,N,0,0,0,
211.44,52860,N,0,0,0,
212.428,53107,N,0,0,0,
213.48,53370,N,0,0,0,
214.536,53634,N,0,0,0,
215.46,53865,N,0,0,0,
216.416,54104,N,0,0,0,
217.48,54370,N,0,0,0,
218.56,54640,N,0,0,0,
219.476,54869,N,0,0,0,
220.304,55076,N,0,0,0,
221.12,55280,N,0,0,0,
222.416,55604,N,0,0,0,
223.58,55895,N,0,0,0,
224.624,56156,N,0,0,0,
225.656,56414,N,0,0,0,
226.772,56693,N,0,0,0,
227.864,56966,N,0,0,0,
228.956,57239,N,0,0,0,
229.928,57482,N,0,0,0,
230.888,57722,N,0,0,0,
231.876,57969,N,0,0,0,
232.876,58219,N,0,0,0,
233.884,58471,N,0,0,0,
234.928,58732,N,0,0,0,
235.96,58990,N,0,0,0,
236.936,59234,N,0,0,0,
237.94,59485,N,0,0,0,
