time,sample,type,sub,channel,num,aux
0.392,98,N,0,0,0,
1.628,407,N,0,0,0,
2.868,717,N,0,0,0,
4.112,1028,N,0,0,0,
5.376,1344,N,0,0,0,
6.64,1660,N,0,0,0,
7.936,1984,N,0,0,0,
9.192,2298,N,0,0,0,
10.468,2617,N,0,0,0,
11.724,2931,N,0,0,0,
12.976,3244,N,0,0,0,
14.236,3559,N,0,0,0,
15.472,3868,N,0,0,0,
16.68,4170,N,0,0,0,
17.884,4471,N,0,0,0,
19.092,4773,N,0,0,0,
20.32,5080,N,0,0,0,
21.552,5388,N,0,0,0,
22.788,5697,N,0,0,0,
24.048,6012,N,0,0,0,
25.3,6325,N,0,0,0,
26.536,6634,N,0,0,0,
27.8,6950,N,0,0,0,
29.056,7264,N,0,0,0,
30.3,7575,N,0,0,0,
31.548,7887,N,0,0,0,
32.792,8198,N,0,0,0,
34.012,8503,N,0,0,0,
35.196,8799,N,0,0,0,
36.388,9097,N,0,0,0,
37.572,9393,N,0,0,0,
38.76,9690,N,0,0,0,
39.92,9980,N,0,0,0,
41.076,10269,N,0,0,0,
42.248,10562,N,0,0,0,
43.436,10859,N,0,0,0,
44.612,11153,N,0,0,0,
45.78,11445,N,0,0,0,
46.936,11734,N,0,0,0,
48.096,12024,N,0,0,0,
49.24,12310,N,0,0,0,
50.38,12595,N,0,0,0,
51.508,12877,N,0,0,0,
52.62,13155,N,0,0,0,
53.772,13443,N,0,0,0,
54.968,13742,N,0,0,0,
56.24,14060,N,0,0,0,
57.512,14378,N,0,0,0,
58.804,14701,N,0,0,0,
60.088,15022,N,0,0,0,
61.256,15314,N,0,0,0,
62.372,15593,N,0,0,0,
63.56,15890,N,0,0,0,
64.824,16206,N,0,0,0,
66.068,16517,N,0,0,0,
67.308,16827,N,0,0,0,
68.548,17137,N,0,0,0,
69.812,17453,N,0,0,0,
71.036,17759,N,0,0,0,
72.244,18061,N,0,0,0,
73.464,18366,N,0,0,0,
74.644,18661,N,0,0,0,
75.812,18953,N,0,0,0,
76.968,19242,N,0,0,0,
78.132,19533,N,0,0,0,
79.328,19832,N,0,0,0,
80.516,20129,N,0,0,0,
81.704,20426,N,0,0,0,
82.9,20725,N,0,0,0,
84.096,21024,N,0,0,0,
85.284,21321,N,0,0,0,
86.496,21624,N,0,0,0,
87.68,21920,N,0,0,0,
88.876,22219,N,0,0,0,
90.072,22518,N,0,0,0,
91.288,22822,N,0,0,0,
92.488,23122,N,0,0,0,
93.684,23421,N,0,0,0,
94.9,23725,N,0,0,0,
96.092,24023,N,0,0,0,
97.312,24328,N,0,0,0,
98.548,24637,N,0,0,0,
99.768,24942,N,0,0,0,
100.996,25249,N,0,0,0,
102.236,25559,N,0,0,0,
103.468,25867,N,0,0,0,
104.676,26169,N,0,0,0,
105.888,26472,N,0,0,0,
107.092,26773,N,0,0,0,
108.312,27078,N,0,0,0,
109.528,27382,N,0,0,0,
110.772,27693,N,0,0,0,
112.032,28008,N,0,0,0,
112.892,28223,S,0,0,0,
114.304,28576,N,0,0,0,
115.572,28893,N,0,0,0,
116.82,29205,N,0,0,0,
118.084,29521,N,0,0,0,
119.332,29833,N,0,0,0,
120.58,30145,N,0,0,0,
121.812,30453,N,0,0,0,
123.008,30752,N,0,0,0,
124.224,31056,N,0,0,0,
125.412,31353,N,0,0,0,
126.604,31651,N,0,0,0,
127.828,31957,N,0,0,0,
129.016,32254,N,0,0,0,
130.22,32555,N,0,0,0,
131.412,32853,N,0,0,0,
132.624,33156,N,0,0,0,
133.868,33467,N,0,0,0,
135.104,33776,N,0,0,0,
136.368,34092,N,0,0,0,
137.64,34410,N,0,0,0,
138.924,34731,N,0,0,0,
140.148,35037,N,0,0,0,
141.288,35322,N,0,0,0,
142.4,35600,N,0,0,0,
143.536,35884,N,0,0,0,
144.74,36185,N,0,0,0,
145.94,36485,N,0,0,0,
147.108,36777,N,0,0,0,
148.268,37067,N,0,0,0,
149.576,37394,N,0,0,0,
150.776,37694,N,0,0,0,
151.952,37988,N,0,0,0,
153.116,38279,N,0,0,0,
154.244,38561,N,0,0,0,
155.384,38846,N,0,0,0,
156.532,39133,N,0,0,0,
157.66,39415,N,0,0,0,
158.788,39697,N,0,0,0,
159.936,39984,N,0,0,0,
161.08,40270,N,0,0,0,
162.2,40550,N,0,0,0,
163.308,40827,N,0,0,0,
164.444,41111,N,0,0,0,
165.58,41395,N,0,0,0,
166.708,41677,N,0,0,0,
167.904,41976,N,0,0,0,
169.056,42264,N,0,0,0,
170.24,42560,N,0,0,0,
171.452,42863,N,0,0,0,
172.628,43157,N,0,0,0,
173.832,43458,N,0,0,0,
175.056,43764,N,0,0,0,
176.244,44061,N,0,0,0,
177.5,44375,N,0,0,0,
178.684,44671,N,0,0,0,
179.872,44968,N,0,0,0,
181.136,45284,N,0,0,0,
182.344,45586,N,0,0,0,
183.552,45888,N,0,0,0,
184.748,46187,N,0,0,0,
185.94,46485,N,0,0,0,
187.128,46782,N,0,0,0,
188.276,47069,N,0,0,0,
189.42,47355,N,0,0,0,
190.548,47637,N,0,0,0,
191.664,47916,N,0,0,0,
192.792,48198,N,0,0,0,
193.94,48485,N,0,0,0,
195.04,48760,N,0,0,0,
196.136,49034,N,0,0,0,
197.24,49310,N,0,0,0,
198.3,49575,N,0,0,0,
199.404,49851,N,0,0,0,
200.548,50137,N,0,0,0,
201.656,50414,N,0,0,0,
202.824,50706,N,0,0,0,
203.964,50991,N,0,0,0,
205.116,51279,N,0,0,0,
206.304,51576,N,0,0,0,
207.46,51865,N,0,0,0,
208.588,52147,N,0,0,0,
209.816,52454,N,0,0,0,
210.988,52747,N,0,0,0,
212.124,53031,N,0,0,0,
213.3,53325,N,0,0,0,
214.456,53614,N,0,0,0,
215.612,53903,N,0,0,0,
216.76,54190,N,0,0,0,
217.94,54485,N,0,0,0,
219.124,54781,N,0,0,0,
220.288,55072,N,0,0,0,
221.512,55378,N,0,0,0,
222.784,55696,N,0,0,0,
223.92,55980,N,0,0,0,
225.18,56295,N,0,0,0,
226.34,56585,N,0,0,0,
227.492,56873,N,0,0,0,
228.664,57166,N,0,0,0,
229.832,57458,N,0,0,0,
230.964,57741,N,0,0,0,
232.132,58033,N,0,0,0,
233.276,58319,N,0,0,0,
234.424,58606,N,0,0,0,
235.564,58891,N,0,0,0,
236.704,59176,N,0,0,0,
237.808,59452,N,0,0,0,
238.92,59730,N,0,0,0,
240.036,60009,N,0,0,0,
241.132,60283,N,0,0,0,
242.204,60551,N,0,0,0,
243.308,60827,N,0,0,0,
244.392,61098,N,0,0,0,
245.516,61379,N,0,0,0,
246.612,61653,N,0,0,0,
247.684,61921,N,0,0,0,
248.76,62190,N,0,0,0,
249.892,62473,N,0,0,0,
250.988,62747,N,0,0,0,
252.088,63022,N,0,0,0,
253.172,63293,N,0,0,0,
254.244,63561,N,0,0,0,
255.356,63839,N,0,0,0,
256.508,64127,N,0,0,0,
257.724,64431,N,0,0,0,
258.964,64741,N,0,0,0,
260.116,65029,N,0,0,0,
261.304,65326,N,0,0,0,
262.488,65622,N,0,0,0,
263.664,65916,N,0,0,0,
264.82,66205,N,0,0,0,
266.04,66510,N,0,0,0,
267.188,66797,N,0,0,0,
268.344,67086,N,0,0,0,
269.48,67370,N,0,0,0,
270.64,67660,N,0,0,0,
271.816,67954,N,0,0,0,
272.972,68243,N,0,0,0,
274.14,68535,N,0,0,0,
275.32,68830,N,0,0,0,
276.484,69121,N,0,0,0,
277.652,69413,N,0,0,0,
278.824,69706,N,0,0,0,
279.96,69990,N,0,0,0,
281.1,70275,N,0,0,0,
282.264,70566,N,0,0,0,
283.392,70848,N,0,0,0,
284.5,71125,N,0,0,0,
285.644,71411,N,0,0,0,
286.792,71698,N,0,0,0,
287.932,71983,N,0,0,0,
289.104,72276,N,0,0,0,
290.28,72570,N,0,0,0,
291.42,72855,N,0,0,0,
292.556,73139,N,0,0,0,
293.7,73425,N,0,0,0,
294.82,73705,N,0,0,0,
295.972,73993,N,0,0,0,
297.096,74274,N,0,0,0,
298.224,74556,N,0,0,0,
299.36,74840,N,0,0,0,
300.468,75117,N,0,0,0,
301.58,75395,N,0,0,0,
302.708,75677,N,0,0,0,
303.84,75960,N,0,0,0,
305.032,76258,N,0,0,0,
306.196,76549,N,0,0,0,
307.396,76849,N,0,0,0,
308.608,77152,N,0,0,0,
309.792,77448,N,0,0,0,
311.108,77777,N,0,0,0,
312.284,78071,N,0,0,0,
313.444,78361,N,0,0,0,
314.628,78657,N,0,0,0,
315.788,78947,N,0,0,0,
316.948,79237,N,0,0,0,
318.192,79548,N,0,0,0,
319.368,79842,N,0,0,0,
320.556,80139,N,0,0,0,
321.716,80429,N,0,0,0,
322.876,80719,N,0,0,0,
324.052,81013,N,0,0,0,
325.224,81306,N,0,0,0,
326.412,81603,N,0,0,0,
327.6,81900,N,0,0,0,
328.772,82193,N,0,0,0,
329.988,82497,N,0,0,0,
331.18,82795,N,0,0,0,
332.356,83089,N,0,0,0,
333.5,83375,N,0,0,0,
334.624,83656,N,0,0,0,
335.76,83940,N,0,0,0,
336.872,84218,N,0,0,0,
338,84500,N,0,0,0,
339.124,84781,N,0,0,0,
340.232,85058,N,0,0,0,
341.332,85333,N,0,0,0,
342.44,85610,N,0,0,0,
343.524,85881,N,0,0,0,
344.604,86151,N,0,0,0,
345.688,86422,N,0,0,0,
346.736,86684,N,0,0,0,
347.484,86871,S,0,0,0,
348.844,87211,N,0,0,0,
349.972,87493,N,0,0,0,
351.116,87779,N,0,0,0,
352.248,88062,N,0,0,0,
353.348,88337,N,0,0,0,
354.488,88622,N,0,0,0,
355.648,88912,N,0,0,0,
356.8,89200,N,0,0,0,
357.98,89495,N,0,0,0,
359.176,89794,N,0,0,0,
360.368,90092,N,0,0,0,
361.556,90389,N,0,0,0,
362.76,90690,N,0,0,0,
363.94,90985,N,0,0,0,
365.108,91277,N,0,0,0,
366.28,91570,N,0,0,0,
367.436,91859,N,0,0,0,
368.56,92140,N,0,0,0,
369.68,92420,N,0,0,0,
370.804,92701,N,0,0,0,
371.912,92978,N,0,0,0,
373,93250,N,0,0,0,
374.112,93528,N,0,0,0,
375.212,93803,N,0,0,0,
376.28,94070,N,0,0,0,
377.368,94342,N,0,0,0,
378.456,94614,N,0,0,0,
379.54,94885,N,0,0,0,
380.604,95151,N,0,0,0,
381.676,95419,N,0,0,0,
382.748,95687,N,0,0,0,
383.816,95954,N,0,0,0,
384.94,96235,N,0,0,0,
386.02,96505,N,0,0,0,
387.104,96776,N,0,0,0,
388.208,97052,N,0,0,0,
389.276,97319,N,0,0,0,
390.344,97586,N,0,0,0,
391.52,97880,N,0,0,0,
392.628,98157,N,0,0,0,
393.74,98435,N,0,0,0,
394.928,98732,N,0,0,0,
396.08,99020,N,0,0,0,
397.244,99311,N,0,0,0,
398.416,99604,N,0,0,0,
399.66,99915,N,0,0,0,
400.792,100198,N,0,0,0,
401.96,100490,N,0,0,0,
403.148,100787,N,0,0,0,
404.316,101079,N,0,0,0,
405.468,101367,N,0,0,0,
406.632,101658,N,0,0,0,
407.828,101957,N,0,0,0,
409.012,102253,N,0,0,0,
410.192,102548,N,0,0,0,
411.392,102848,N,0,0,0,
412.564,103141,N,0,0,0,
413.812,103453,N,0,0,0,
414.996,103749,N,0,0,0,
416.168,104042,N,0,0,0,
417.304,104326,N,0,0,0,
418.444,104611,N,0,0,0,
419.544,104886,N,0,0,0,
420.636,105159,N,0,0,0,
421.7,105425,N,0,0,0,
422.756,105689,N,0,0,0,
423.792,105948,N,0,0,0,
424.828,106207,N,0,0,0,
425.84,106460,N,0,0,0,
426.884,106721,N,0,0,0,
427.932,106983,N,0,0,0,
428.96,107240,N,0,0,0,
430.012,107503,N,0,0,0,
431.056,107764,N,0,0,0,
432.1,108025,N,0,0,0,
433.192,108298,N,0,0,0,
434.264,108566,N,0,0,0,
435.336,108834,N,0,0,0,
436.512,109128,N,0,0,0,
437.656,109414,N,0,0,0,
438.856,109714,N,0,0,0,
440.004,110001,N,0,0,0,
441.184,110296,N,0,0,0,
442.348,110587,N,0,0,0,
443.524,110881,N,0,0,0,
444.764,111191,N,0,0,0,
445.928,111482,N,0,0,0,
447.172,111793,N,0,0,0,
448.412,112103,N,0,0,0,
449.644,112411,N,0,0,0,
450.912,112728,N,0,0,0,
452.176,113044,N,0,0,0,
453.432,113358,N,0,0,0,
454.68,113670,N,0,0,0,
455.94,113985,N,0,0,0,
457.18,114295,N,0,0,0,
458.404,114601,N,0,0,0,
459.584,114896,N,0,0,0,
460.784,115196,N,0,0,0,
461.984,115496,N,0,0,0,
463.16,115790,N,0,0,0,
464.312,116078,N,0,0,0,
465.444,116361,N,0,0,0,
466.556,116639,N,0,0,0,
467.648,116912,N,0,0,0,
468.756,117189,N,0,0,0,
469.8,117450,N,0,0,0,
470.828,117707,N,0,0,0,
471.864,117966,N,0,0,0,
472.936,118234,N,0,0,0,
474.048,118512,N,0,0,0,
475.188,118797,N,0,0,0,
476.316,119079,N,0,0,0,
477.432,119358,N,0,0,0,
478.588,119647,N,0,0,0,
479.768,119942,N,0,0,0,
480.936,120234,N,0,0,0,
482.128,120532,N,0,0,0,
483.332,120833,N,0,0,0,
484.524,121131,N,0,0,0,
485.704,121426,N,0,0,0,
486.904,121726,N,0,0,0,
488.112,122028,N,0,0,0,
489.3,122325,N,0,0,0,
490.516,122629,N,0,0,0,
491.728,122932,N,0,0,0,
492.948,123237,N,0,0,0,
494.164,123541,N,0,0,0,
495.368,123842,N,0,0,0,
496.58,124145,N,0,0,0,
497.812,124453,N,0,0,0,
499.012,124753,N,0,0,0,
500.216,125054,N,0,0,0,
501.42,125355,N,0,0,0,
502.6,125650,N,0,0,0,
503.784,125946,N,0,0,0,
504.972,126243,N,0,0,0,
506.148,126537,N,0,0,0,
507.328,126832,N,0,0,0,
508.492,127123,N,0,0,0,
509.66,127415,N,0,0,0,
510.848,127712,N,0,0,0,
512.06,128015,N,0,0,0,
513.264,128316,N,0,0,0,
514.456,128614,N,0,0,0,
515.66,128915,N,0,0,0,
516.84,129210,N,0,0,0,
518.012,129503,N,0,0,0,
519.18,129795,N,0,0,0,
520.34,130085,N,0,0,0,
521.468,130367,N,0,0,0,
522.588,130647,N,0,0,0,
523.728,130932,N,0,0,0,
524.836,131209,N,0,0,0,
525.92,131480,N,0,0,0,
527.108,131777,N,0,0,0,
528.272,132068,N,0,0,0,
529.484,132371,N,0,0,0,
530.744,132686,N,0,0,0,
531.972,132993,N,0,0,0,
533.204,133301,N,0,0,0,
534.428,133607,N,0,0,0,
535.64,133910,N,0,0,0,
536.828,134207,N,0,0,0,
538.04,134510,N,0,0,0,
539.272,134818,N,0,0,0,
540.48,135120,N,0,0,0,
541.672,135418,N,0,0,0,
542.84,135710,N,0,0,0,
544.024,136006,N,0,0,0,
545.224,136306,N,0,0,0,
546.388,136597,N,0,0,0,
547.576,136894,N,0,0,0,
548.764,137191,N,0,0,0,
549.94,137485,N,0,0,0,
551.116,137779,N,0,0,0,
552.284,138071,N,0,0,0,
553.416,138354,N,0,0,0,
554.564,138641,N,0,0,0,
555.704,138926,N,0,0,0,
556.828,139207,N,0,0,0,
557.964,139491,N,0,0,0,
559.092,139773,N,0,0,0,
560.156,140039,N,0,0,0,
561.236,140309,N,0,0,0,
562.336,140584,N,0,0,0,
563.412,140853,N,0,0,0,
564.504,141126,N,0,0,0,
565.648,141412,N,0,0,0,
566.764,141691,N,0,0,0,
567.884,141971,N,0,0,0,
569.06,142265,N,0,0,0,
570.196,142549,N,0,0,0,
571.34,142835,N,0,0,0,
572.512,143128,N,0,0,0,
573.668,143417,N,0,0,0,
574.844,143711,N,0,0,0,
576.168,144042,N,0,0,0,
577.396,144349,N,0,0,0,
578.596,144649,N,0,0,0,
579.78,144945,N,0,0,0,
580.944,145236,N,0,0,0,
582.08,145520,N,0,0,0,
583.22,145805,N,0,0,0,
584.352,146088,N,0,0,0,
585.516,146379,N,0,0,0,
586.652,146663,N,0,0,0,
587.816,146954,N,0,0,0,
588.984,147246,N,0,0,0,
590.152,147538,N,0,0,0,
591.312,147828,N,0,0,0,
592.472,148118,N,0,0,0,
593.604,148401,N,0,0,0,
594.732,148683,N,0,0,0,
595.888,148972,N,0,0,0,
